"transaction_id","date","client_id","commune","produit","montant_fc","canal"
"T011","2026-05-04","C001","Gombe","Data 10GB","18000","Mobile Money"
"T012","2026-05-04","C002","Limete","Voice","3000","USSD"
"T013","2026-05-04","C001","Gombe","Data 5GB","10000","Mobile Money"
"T014","2026-05-04","C009","Matete","SMS","1000","Agent"
"T015","2026-05-04","C010","Masina","Data 10GB","18000","Agent"
"T016","2026-05-05","C001","Gombe","Data 10GB","18000","Mobile Money"
"T017","2026-05-05","C002","Limete","Voice","3000","USSD"
"T018","2026-05-05","C011","Ndjili","Data 5GB","10000","Agent"
"T019","2026-05-05","C001","Gombe","Data 10GB","18000","Mobile Money"
"T020","2026-05-05","C012","Gombe","SMS","1000","Mobile Money"
"T021","2026-05-05","C001","Gombe","Data 10GB","18000","Mobile Money"
"T022","2026-05-05","C013","Masina","Voice","3000","USSD"
"T023","2026-05-05","C001","Gombe","Data 5GB","10000","Mobile Money"
"T024","2026-05-06","C014","Matete","Data 10GB","18000","Agent"
"T025","2026-05-06","C001","Gombe","Data 10GB","18000","Mobile Money"
