"transaction_id","date","agent_id","client_id","commune","produit","montant_fc"
"A001","2026-05-07","AG01","C101","Gombe","Data 10GB","18000"
"A002","2026-05-07","AG02","C102","Limete","Voice","3000"
"A003","2026-05-07","AG01","C103","Gombe","Data 5GB","10000"
"A004","2026-05-07","AG03","C104","Masina","SMS","1000"
"A005","2026-05-07","AG04","C105","Ndjili","Data 10GB","18000"
"A006","2026-05-08","AG01","C106","Gombe","Data 10GB","18000"
"A007","2026-05-08","AG02","C107","Limete","Voice","3000"
"A008","2026-05-08","AG03","C108","Masina","SMS","1000"
"A009","2026-05-08","AG01","C109","Gombe","Data 10GB","18000"
"A010","2026-05-08","AG05","C110","Matete","Data 5GB","10000"
"A011","2026-05-09","AG01","C111","Gombe","Data 10GB","18000"
"A012","2026-05-09","AG02","C112","Limete","Voice","3000"
"A013","2026-05-09","AG03","C113","Masina","SMS","1000"
"A014","2026-05-09","AG04","C114","Ndjili","Data 10GB","18000"
"A015","2026-05-09","AG05","C115","Matete","Data 5GB","10000"
