"transaction_id","date","client_id","commune","produit","montant_fc"
"F001","2026-05-10","C201","Gombe","Data 10GB","18000"
"F002","2026-05-10","C202","Limete","Voice","3000"
"F003","2026-05-10","C203","Matete","Data 5GB","10000"
"F004","2026-05-11","C201","Gombe","Data 10GB","18000"
"F005","2026-05-11","C204","Masina","SMS","1000"
"F006","2026-05-11","C205","Ndjili","Data 10GB","18000"
"F007","2026-05-12","C201","Gombe","Data 5GB","10000"
"F008","2026-05-12","C202","Limete","Voice","3000"
"F009","2026-05-12","C206","Gombe","SMS","1000"
"F010","2026-05-13","C201","Gombe","Data 10GB","18000"
"F011","2026-05-13","C203","Matete","Data 5GB","10000"
"F012","2026-05-13","C207","Masina","Voice","3000"
"F013","2026-05-14","C201","Gombe","Data 10GB","18000"
"F014","2026-05-14","C208","Ndjili","Data 10GB","18000"
"F015","2026-05-14","C202","Limete","Voice","3000"
