"transaction_id","date","client_id","commune","produit","montant_fc","periode"
"P001","2026-05-15","C201","Gombe","Data 10GB","18000","Avant Promo"
"P002","2026-05-15","C202","Limete","Voice","3000","Avant Promo"
"P003","2026-05-15","C203","Matete","Data 5GB","10000","Avant Promo"
"P004","2026-05-15","C205","Ndjili","Data 10GB","18000","Avant Promo"
"P005","2026-05-16","C201","Gombe","Data 10GB","12600","Promo"
"P006","2026-05-16","C202","Limete","Voice","3000","Promo"
"P007","2026-05-16","C209","Masina","Data 10GB","12600","Promo"
"P008","2026-05-16","C210","Kintambo","Data 10GB","12600","Promo"
"P009","2026-05-17","C201","Gombe","Data 10GB","12600","Promo"
"P010","2026-05-17","C211","Bandalungwa","Data 10GB","12600","Promo"
"P011","2026-05-17","C203","Matete","Data 5GB","10000","Promo"
"P012","2026-05-17","C212","Ngaliema","Data 10GB","12600","Promo"
"P013","2026-05-18","C201","Gombe","Data 10GB","18000","Après Promo"
"P014","2026-05-18","C202","Limete","Voice","3000","Après Promo"
"P015","2026-05-18","C213","Selembao","Data 10GB","18000","Après Promo"
